City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,74.84,78,3,14.45,PF,1687800911
1,punta arenas,-53.15,-70.9167,37.51,75,100,18.41,CL,1687801174
2,vila velha,-20.3297,-40.2925,78.75,87,75,8.05,BR,1687801130
3,new norfolk,-42.7826,147.0587,49.5,75,100,6.93,AU,1687801174
4,mar del plata,-38.0023,-57.5575,60.82,72,0,10.36,AR,1687801174
5,vila franca do campo,37.7167,-25.4333,73.81,70,4,7.92,PT,1687801175
6,vaini,-21.2,-175.2,69.96,78,20,4.61,TO,1687801175
7,severo-kurilsk,50.6789,156.125,50.68,72,100,9.04,RU,1687801175
8,mayumba,-3.432,10.6554,72.05,93,55,10.13,GA,1687801175
9,talavera de la reina,39.9635,-4.8308,101.35,10,0,11.72,ES,1687801175
10,kisaran,2.9845,99.6158,73.11,98,37,2.51,ID,1687801176
11,abu road,24.4833,72.7833,82.83,76,84,5.41,IN,1687801176
12,muswellbrook,-32.2667,150.9,48.33,83,68,5.5,AU,1687801176
13,college,64.8569,-147.8028,61.59,71,75,4.61,US,1687801176
14,chissamba,-12.1667,17.3333,61.56,38,14,2.33,AO,1687801177
15,mataura,-46.1927,168.8643,41.38,97,48,2.28,NZ,1687801177
16,havelock,34.8791,-76.9013,87.98,82,75,18.41,US,1687801086
17,labytnangi,66.6572,66.4183,54.54,86,98,3.56,RU,1687801177
18,kapaa,22.0752,-159.319,79.12,85,20,18.41,US,1687801177
19,hermanus,-34.4187,19.2345,57.79,85,80,23.13,ZA,1687801178
20,avera,33.194,-82.5271,89.91,49,39,12.19,US,1687801178
21,norman wells,65.282,-126.8329,73.44,56,75,0.0,CA,1687801178
22,los llanos de aridane,28.6585,-17.9182,75.13,80,75,6.91,ES,1687801178
23,ilulissat,69.2167,-51.1,46.42,61,40,5.75,GL,1687801179
24,de aar,-30.6497,24.0123,57.97,37,89,3.58,ZA,1687801179
25,rockland,41.1668,-74.0496,77.25,90,100,1.99,US,1687801142
26,oranjemund,-28.55,16.4333,58.39,78,98,11.03,NA,1687801179
27,provideniya,64.3833,-173.3,45.86,88,100,4.81,RU,1687801180
28,lillooet,50.6856,-121.942,79.23,38,67,1.32,CA,1687801180
29,lebu,-37.6167,-73.65,53.98,78,100,15.9,CL,1687801180
30,hilo,19.7297,-155.09,74.12,91,40,5.75,US,1687800928
31,yellowknife,62.456,-114.3525,61.32,63,75,13.8,CA,1687801005
32,butaritari,3.0707,172.7902,79.43,89,100,11.99,KI,1687801181
33,chokurdakh,70.6333,147.9167,44.64,60,8,14.38,RU,1687801181
34,busselton,-33.65,115.3333,46.33,79,19,5.61,AU,1687801181
35,henderson,36.0397,-114.9819,91.67,9,0,21.85,US,1687801021
36,hobart,-42.8794,147.3294,49.86,76,99,12.66,AU,1687801029
